CusAgeYr,CusGen,LevEdn,LevIncome,CusChoice,ConstUp,ReplacReminder,ProInsuCov,CusAcct,ProdReturn,cluster_kmeans
43,1,1,2,3,3,2,3,0,2,2
30,0,1,3,5,5,5,4,1,6,1
32,1,1,3,6,7,4,4,0,5,1
29,1,1,2,5,5,5,3,0,5,1
37,0,1,5,7,7,2,5,0,3,1
25,1,1,2,5,4,5,3,1,7,1
28,1,1,2,5,4,6,1,0,4,1
34,1,2,4,6,6,7,4,1,4,1
38,0,2,3,6,7,4,7,1,2,1
38,1,2,2,2,1,2,3,0,3,2
35,0,1,2,2,1,2,3,1,4,2
34,1,2,3,7,4,7,4,1,5,1
40,1,1,2,4,3,3,1,0,3,2
39,1,2,4,7,7,5,6,1,3,1
38,0,1,3,5,7,2,4,0,2,2
36,1,1,2,7,6,3,1,0,2,2
32,1,2,5,6,6,6,4,1,5,1
29,0,1,4,2,3,5,7,1,7,1
45,1,1,3,7,4,4,4,1,3,1
41,1,1,5,4,7,6,4,0,4,1
39,1,2,3,7,4,2,6,1,2,2
39,0,1,3,5,5,5,4,1,4,1
39,0,1,3,3,7,4,5,0,4,1
40,1,1,5,3,3,3,2,1,3,2
30,1,2,5,7,5,6,6,1,5,1
42,1,2,3,6,6,6,4,0,4,1
31,1,1,2,1,4,5,5,1,7,1
41,1,1,5,5,6,5,4,1,4,1
27,1,1,2,5,5,5,4,1,5,1
31,1,2,5,7,4,7,6,1,5,1
38,0,3,4,3,7,2,5,1,2,2
32,0,3,4,1,4,4,5,1,5,2
43,1,1,5,7,7,3,5,0,2,1
39,1,1,5,7,6,3,5,0,3,1
33,1,3,4,6,4,7,6,1,5,1
26,1,1,5,6,4,7,6,1,5,1
39,0,1,3,5,6,5,4,0,3,1
46,1,3,1,5,5,3,3,0,3,2
32,0,1,3,2,2,2,2,1,2,2
40,0,3,4,7,7,2,5,1,1,2
40,1,1,3,4,4,2,5,1,2,2
39,0,1,3,3,4,2,4,0,2,2
26,1,1,3,5,7,5,7,1,7,1
26,1,1,2,4,4,5,5,1,6,1
42,1,2,4,5,7,6,6,1,3,1
39,0,1,4,3,4,6,6,0,5,1
39,0,3,3,7,7,5,5,1,3,1
40,0,2,3,5,5,5,5,1,4,1
36,0,1,3,4,5,3,3,1,2,2
45,1,1,3,5,6,3,6,0,2,2
29,1,2,3,5,6,5,6,1,7,1
37,1,1,3,4,3,4,1,0,4,2
38,0,1,3,4,2,3,2,0,3,2
40,0,1,3,5,5,5,4,0,4,1
30,1,1,5,6,4,6,6,1,5,1
38,0,1,4,3,2,2,3,0,4,2
34,1,2,3,6,5,7,6,1,5,1
33,1,1,5,5,5,7,6,1,4,1
40,0,1,2,6,5,4,3,1,3,2
26,0,1,5,5,4,6,4,1,5,1
42,1,1,1,4,5,2,3,0,2,2
35,1,1,2,4,4,4,2,0,4,2
